,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close,Adj Close
,BAC,BNY,C,COF,FITB,GS,JPM,KEY,MS,PNC,STT,TD,USB,WFC
Date,,,,,,,,,,,,,,
2008-02-01,31.54831696,7.070977688,196.5730743,36.53089142,15.90617847,139.7445374,28.76899338,15.29154491,32.83317566,43.54323578,60.79430008,19.6020298,22.35631752,20.08031273
2008-03-01,30.09553719,7.302771091,177.5872955,39.36038589,14.53088093,136.2514954,30.39674377,15.46893311,35.62386322,46.47777557,61.1425705,17.94098663,22.59370804,20.19648933
2008-04-01,30.3018837,7.533551216,209.5065765,42.38319397,15.18363571,157.6543274,33.72305679,17.00525475,37.88443375,49.1571579,55.99335098,19.2218647,23.9623642,20.6476078
2008-05-01,27.4525013,7.202706337,181.4839783,38.48074722,13.24937439,145.5999603,30.6802063,13.72118664,34.67456055,46.00130463,55.90019608,21.3349781,23.46741486,19.13461685
2008-06-01,19.26761246,7.193566799,140.7346649,30.60770988,7.212759972,144.3536682,24.47994041,7.868787766,28.2774353,40.88210297,49.6675148,18.39048958,19.71998215,16.64843941
2008-07-01,27.07677078,7.233581066,156.9410248,33.70795822,10.04433632,151.8973541,28.98921013,7.560633659,30.95073509,51.04176712,55.807621,17.94453239,21.95484924,21.21887016
2008-08-01,25.62827873,7.274118423,162.2198334,35.54393005,11.34571362,135.5958862,27.76989555,8.606935501,32.24771118,52.10303116,52.71500397,17.36756134,22.85140038,21.21887016
2008-09-01,28.80507088,6.228380203,175.2042389,41.41300964,8.556019783,105.8502731,33.69328308,8.702062607,18.1654911,54.09447861,44.30958557,18.18450356,25.83513641,26.59471703
2008-10-01,20.2899189,5.951688766,116.6035004,31.76621437,7.871953964,76.49337006,29.7612133,9.044602394,13.79787731,48.27950668,33.90418625,14.02523327,21.64153099,24.12870598
2008-11-01,13.64134121,4.84243679,71.70503235,27.9416008,6.936024189,65.52048492,23.01841736,6.836293697,11.79475975,38.58118057,32.93439484,10.6174345,19.58700562,20.47220039
2008-12-01,11.81969547,4.659147263,58.0387001,26.15183258,5.992839813,69.99967194,22.92390251,6.25323534,12.82630634,35.82484436,30.76013565,10.79805374,18.15681839,21.09457016
2009-01-01,5.649498463,5.66135025,30.70600128,12.9898138,1.736240983,66.96379852,18.54704857,5.343139648,16.17680931,23.77599335,18.32245445,9.714337349,10.96576405,13.52399158
2009-02-01,3.391416788,5.868751049,13.00526428,9.881766319,1.53283143,75.54888916,16.81576538,5.144973278,15.84117985,20.27964592,19.89722252,8.956659317,10.57412815,8.658218384
2009-03-01,5.855561256,5.85347271,21.93553925,10.30965328,2.121265411,88.42139435,19.56074333,5.82172966,18.45976448,21.7260685,24.23570824,10.55628014,10.79580688,10.37996674
2009-04-01,7.688242912,6.385373592,26.4440403,14.0999651,2.990950346,107.1698761,24.28534889,4.54938364,19.1650753,29.44776535,26.88223839,12.03379059,13.5038805,14.58589077
2009-05-01,9.702859879,6.759313107,32.25305557,20.58561897,5.033550262,120.5723572,27.20376396,3.698685169,24.6583004,33.89373016,36.58599472,15.76289654,14.23021507,18.58771706
2009-06-01,11.36448193,6.817737103,25.75042534,18.4705925,5.179450035,123.2822266,25.14690399,3.883944035,23.18628311,28.87849998,37.17672729,16.01059341,13.28153801,17.72191429
2009-07-01,12.74454784,7.117496014,27.48444748,25.91623497,6.940222263,136.5435638,28.49391174,4.284198284,23.1781559,27.2786808,39.62660599,18.15627861,15.16964722,17.8680172
